date,index,category
1975-01-01,52.3,CPI
1975-04-01,53,CPI
1975-07-01,54,CPI
1975-10-01,54.9,CPI
1976-01-01,55.8,CPI
1976-04-01,56.1,CPI
1976-07-01,57,CPI
1976-10-01,57.9,CPI
1977-01-01,58.7,CPI
1977-04-01,60,CPI
1977-07-01,60.8,CPI
1977-10-01,61.6,CPI
1978-01-01,62.7,CPI
1978-04-01,63.9,CPI
1978-07-01,65.5,CPI
1978-10-01,67.1,CPI
1979-01-01,68.5,CPI
1979-04-01,70.6,CPI
1979-07-01,73,CPI
1979-10-01,75.2,CPI
1980-01-01,78,CPI
1980-04-01,80.9,CPI
1980-07-01,82.6,CPI
1980-10-01,84.7,CPI
1981-01-01,87.2,CPI
1981-04-01,89.1,CPI
1981-07-01,91.5,CPI
1981-10-01,93.4,CPI
1982-01-01,94.4,CPI
1982-04-01,95,CPI
1982-07-01,97.5,CPI
1982-10-01,98.1,CPI
1983-01-01,97.9,CPI
1983-04-01,98.8,CPI
1983-07-01,99.8,CPI
1983-10-01,100.8,CPI
1984-01-01,102.1,CPI
1984-04-01,103.3,CPI
1984-07-01,104.1,CPI
1984-10-01,105.1,CPI
1985-01-01,105.7,CPI
1985-04-01,107,CPI
1985-07-01,107.7,CPI
1985-10-01,108.5,CPI
1986-01-01,109.9,CPI
1986-04-01,108.7,CPI
1986-07-01,109.5,CPI
1986-10-01,110.2,CPI
1987-01-01,111.4,CPI
1987-04-01,112.7,CPI
1987-07-01,113.8,CPI
1987-10-01,115,CPI
1988-01-01,116,CPI
1988-04-01,117.2,CPI
1988-07-01,118.5,CPI
1988-10-01,119.9,CPI
1989-01-01,121.2,CPI
1989-04-01,123.1,CPI
1989-07-01,124.5,CPI
1989-10-01,125.4,CPI
1990-01-01,127.5,CPI
1990-04-01,128.9,CPI
1990-07-01,130.5,CPI
1990-10-01,133.4,CPI
1991-01-01,134.7,CPI
1991-04-01,135.1,CPI
1991-07-01,136.2,CPI
1991-10-01,137.2,CPI
1992-01-01,138.3,CPI
1992-04-01,139.4,CPI
1992-07-01,140.5,CPI
1992-10-01,141.7,CPI
1993-01-01,142.8,CPI
1993-04-01,143.8,CPI
1993-07-01,144.5,CPI
1993-10-01,145.6,CPI
1994-01-01,146.3,CPI
1994-04-01,147.2,CPI
1994-07-01,148.4,CPI
1994-10-01,149.4,CPI
1995-01-01,150.5,CPI
1995-04-01,151.8,CPI
1995-07-01,152.6,CPI
1995-10-01,153.5,CPI
1996-01-01,154.7,CPI
1996-04-01,156.1,CPI
1996-07-01,157,CPI
1996-10-01,158.2,CPI
1997-01-01,159.4,CPI
1997-04-01,159.9,CPI
1997-07-01,160.4,CPI
1997-10-01,161.5,CPI
1998-01-01,162,CPI
1998-04-01,162.2,CPI
1998-07-01,163.2,CPI
1998-10-01,163.9,CPI
1999-01-01,164.7,CPI
1999-04-01,165.9,CPI
1999-07-01,166.7,CPI
1999-10-01,168.1,CPI
2000-01-01,169.3,CPI
2000-04-01,170.9,CPI
2000-07-01,172.7,CPI
2000-10-01,173.9,CPI
2001-01-01,175.6,CPI
2001-04-01,176.4,CPI
2001-07-01,177.4,CPI
2001-10-01,177.6,CPI
2002-01-01,177.7,CPI
2002-04-01,179.3,CPI
2002-07-01,180,CPI
2002-10-01,181.2,CPI
2003-01-01,182.6,CPI
2003-04-01,183.2,CPI
2003-07-01,183.7,CPI
2003-10-01,184.9,CPI
2004-01-01,186.3,CPI
2004-04-01,187.4,CPI
2004-07-01,189.1,CPI
2004-10-01,190.8,CPI
2005-01-01,191.6,CPI
2005-04-01,193.7,CPI
2005-07-01,194.9,CPI
2005-10-01,199.1,CPI
2006-01-01,199.3,CPI
2006-04-01,200.7,CPI
2006-07-01,202.9,CPI
2006-10-01,201.9,CPI
2007-01-01,203.437,CPI
2007-04-01,205.904,CPI
2007-07-01,207.603,CPI
2007-10-01,209.19,CPI
2008-01-01,212.174,CPI
2008-04-01,213.942,CPI
2008-07-01,219.016,CPI
2008-10-01,216.995,CPI
2009-01-01,211.933,CPI
2009-04-01,212.709,CPI
2009-07-01,214.726,CPI
2009-10-01,216.509,CPI
2010-01-01,217.488,CPI
2010-04-01,217.403,CPI
2010-07-01,217.605,CPI
2010-10-01,219.035,CPI
2011-01-01,221.187,CPI
2011-04-01,224.093,CPI
2011-07-01,225.395,CPI
2011-10-01,226.75,CPI
2012-01-01,227.842,CPI
2012-04-01,229.187,CPI
2012-07-01,228.59,CPI
2012-10-01,231.638,CPI
2013-01-01,231.679,CPI
2013-04-01,231.797,CPI
2013-07-01,232.9,CPI
2013-10-01,233.669,CPI
2014-01-01,235.288,CPI
2014-04-01,236.468,CPI
2014-07-01,237.498,CPI
2014-10-01,237.43,CPI
2015-01-01,234.747,CPI
2015-04-01,236.222,CPI
2015-07-01,238.034,CPI
2015-10-01,237.733,CPI
2016-01-01,237.652,CPI
2016-04-01,238.992,CPI
2016-07-01,240.101,CPI
2016-10-01,241.741,CPI
2017-01-01,243.618,CPI
2017-04-01,244.193,CPI
2017-07-01,244.243,CPI
2017-10-01,246.626,CPI
2018-01-01,248.743,CPI
2018-04-01,250.146,CPI
2018-07-01,251.323,CPI
2018-10-01,252.862,CPI
2019-01-01,252.47,CPI
2019-04-01,255.163,CPI
2019-07-01,255.9,CPI
2019-10-01,257.305,CPI
2020-01-01,258.682,CPI
2020-04-01,256.094,CPI
2020-07-01,258.543,CPI
2020-10-01,260.352,CPI
2021-01-01,262.2,CPI
2021-04-01,266.727,CPI
2021-07-01,272.184,CPI
2021-10-01,276.59,CPI
2022-01-01,281.933,CPI
2022-04-01,288.663,CPI
2022-07-01,295.271,CPI
1975-01-01,60.04,House Price Index
1975-04-01,60.99,House Price Index
1975-07-01,61.17,House Price Index
1975-10-01,62.24,House Price Index
1976-01-01,62.87,House Price Index
1976-04-01,65.45,House Price Index
1976-07-01,66.53,House Price Index
1976-10-01,67.24,House Price Index
1977-01-01,69.5,House Price Index
1977-04-01,72.72,House Price Index
1977-07-01,74.35,House Price Index
1977-10-01,77.18,House Price Index
1978-01-01,79.58,House Price Index
1978-04-01,82.74,House Price Index
1978-07-01,85.16,House Price Index
1978-10-01,87.49,House Price Index
1979-01-01,91.4,House Price Index
1979-04-01,94.45,House Price Index
1979-07-01,96.46,House Price Index
1979-10-01,98.24,House Price Index
1980-01-01,100,House Price Index
1980-04-01,101.63,House Price Index
